#NAME,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20D1,F1D20D2,F1D20D3,F1D20D4,F1D20D5,F1D20T1,F1D20T2,F1D20T3,F1D20T4,F2D20D1,F2D20D2,F2D20D3,F2D20D4,F2D20D5,F2D20T1,F2D20T2,F2D20T3,F2D20T4
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Erysipelotrichaceae_incertae_sedis",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,149,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales",39,14,43,0,0,0,67,17,0,18,4,0,46,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,2,0,0,0,0,0,19,22,0,0,0,3,8,0,0,2,0,0,0,0,0,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",0,0,25,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Eubacteriaceae,g:Eubacterium",0,0,0,0,0,0,51,59,3,34,34,21,7,16,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",0,0,2,0,3,0,23,0,0,21,0,0,0,0,6,0,4,0,3,0,2,0,2
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",3,15,3,8,35,10,5,27,4,4,0,0,0,0,4,1,3,0,3,1,0,1,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,1,0,0,0,0,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Blautia",0,0,1,0,0,0,0,0,0,2,3,3,8,24,3,0,0,0,0,1,0,0,1
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",0,0,0,2,7,2,0,0,4,0,0,0,0,0,4,2,0,3,4,16,14,5,2
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",4,25,22,22,9,32,9,22,14,6,2,2,1,0,7,1,14,7,3,11,3,2,6
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Olsenella",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Anaerococcus",0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",0,0,0,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Parabacteroides",0,0,0,2,0,16,20,6,0,7,10,7,15,34,8,0,27,22,7,2,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",26,99,202,192,90,115,37,55,67,70,76,52,48,0,56,47,123,69,40,73,47,6,56
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,1,0,0,0,0,0,0,0,22,6,0,0,0,0,1,0,0,0,0,0,2
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Holdemanella",0,0,0,0,0,0,0,0,1,0,32,35,4,2,0,0,1,0,0,0,0,0,0
