#NAME,D16B1,D16B2,D16B3,D16B4,D16B5,D16C1,D16C2,D16C3,D16C4,D16C5,D16T1,D16T2,D16T3,D16T4,D23B1,D23B2,D23B3,D23B4,D23B5,D23C1,D23C2,D23C3,D23C4,D23C5,D23T1,D23T2,D23T3,D23T4,D8B1,D8B2,D8B3,D8B4,D8B5,D8C1,D8C2,D8C3,D8C4,D8C5,D8T1,D8T2,D8T3,D8T4,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20C1,F1D20C2,F1D20C3,F1D20C4,F1D20C5,F1D20T1,F1D20T2,F1D20T3,F1D20T4
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",194,540,1583,98,257,188,146,127,432,589,5,0,3,11,40,47,268,103,20,33,21,61,24,345,2,0,0,3,0,6,28,5,2,2,0,2,2,3,3,2,0,13,48,158,617,159,74,31,81,142,56,534,2,0,6,8
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Coprobacillus",10,0,0,0,0,1431,5,0,12,1,0,0,0,0,6,10,0,0,0,859,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1200,0,2,2,1,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",11,3,8,1,4,0,0,0,1,25,565,268,65,519,643,501,1,1241,70,598,0,30,121,87,400,762,1205,1037,80,26,118,6,20,1,52,77,24,27,38,313,17,47,108,44,5,44,2,5,0,15,5,5,353,256,489,917
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Flavonifractor",367,466,17,25,22,1507,158,338,542,1377,81,107,189,143,1878,659,50,191,238,621,627,301,356,291,180,185,220,223,51,30,48,36,18,225,38,53,58,328,7,78,37,166,150,481,9,444,377,460,744,498,641,484,87,50,190,258
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Intestinimonas",0,0,4,0,0,0,0,0,0,0,400,15,0,0,0,0,0,0,0,0,0,0,0,0,1167,4,5,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,680,5,0,6
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Clostridium_XVIII",4,67,0,0,2,5,3,8,87,5,12,1,2,30,1084,607,0,3,7,214,496,787,286,2,10,8,2,14,54,190,8,9,11,37,44,84,23,28,4,2,9,43,65,183,0,2,0,212,309,278,355,1,16,3,1,20
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Faecalibacterium",69,2,55,9,72,943,517,499,51,581,388,375,84,34,152,0,297,505,134,103,596,150,89,354,477,470,278,178,16,1,202,21,49,8,9,169,117,303,67,51,48,197,24,0,593,118,112,105,430,295,84,160,348,115,183,115
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Anaerostipes",19,7,4,10,14,4,7,14,24,785,468,68,24,152,1,0,0,1,0,0,0,1,0,459,488,9,79,50,62,99,224,645,115,150,64,46,11,335,795,38,37,74,0,43,1,30,7,11,5,34,61,363,1251,11,18,81
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",3,0,16,0,0,0,0,0,0,0,1052,299,0,18,0,1,8,0,0,0,0,0,0,0,314,142,278,109,3,30,537,2,0,0,0,48,0,40,1,8,0,7,0,0,4,0,0,0,0,9,0,0,513,95,149,104
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus",10,2,42,0,0,0,4,4,3,24,106,105,28,585,1,3,0,59,0,0,9,1,0,39,16,49,239,257,12,16,94,0,0,0,717,75,3,0,62,5,0,382,1,5,2,2,0,0,16,10,1,13,33,75,55,597
